ID,Type,Name,Faction,Cost,ATK,DEF,Rarity,Ability,Sets,ImageUrl
0,Landscape,Blue Plains 1,BluePlains,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/Blue_Plains1.png
1,Landscape,Blue Plains 2,BluePlains,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/Blue_Plains2.png
2,Landscape,Blue Plains 3,BluePlains,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/Blue_Plains3.png
3,Landscape,Blue Plains 4,BluePlains,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/Blue_Plains4.png
4,Landscape,Cornfield 1,Cornfield,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/Cornfield1.png
5,Landscape,Cornfield 2,Cornfield,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/Cornfield2.png
6,Landscape,Cornfield 3,Cornfield,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/Cornfield3.png
7,Landscape,Cornfield 4,Cornfield,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/Cornfield4.png
8,Landscape,Useless Swamp 1,UselessSwamp,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/Useless_Swamp1.png
9,Landscape,Useless Swamp 2,UselessSwamp,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/Useless_Swamp2.png
10,Landscape,Useless Swamp 3,UselessSwamp,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/Useless_Swamp3.png
11,Landscape,Useless Swamp 4,UselessSwamp,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/Useless_Swamp4.png
12,Landscape,SandyLands 1,SandyLands,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/SandyLands1.png
13,Landscape,SandyLands 2,SandyLands,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/SandyLands2.png
14,Landscape,SandyLands 3,SandyLands,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/SandyLands3.png
15,Landscape,SandyLands 4,SandyLands,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/SandyLands4.png
16,Landscape,NiceLands 1,NiceLands,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/NiceLands1.png
17,Landscape,NiceLands 2,NiceLands,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/NiceLands2.png
18,Landscape,IcyLands 1,IcyLands,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/IcyLands1.png
19,Landscape,IcyLands 2,IcyLands,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/IcyLands2.png
20,Landscape,IcyLands 3,IcyLands,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/IcyLands3.png
21,Landscape,IcyLands 4,IcyLands,0,0,0,Starter,,,https://www.carddweeb.com/CardImages/regular/IcyLands4.png
22,Hero,Finn,None,0,0,0,Starter,"Creatures you control with no Damage on them have ""FLOOP"" >>> Deal 1 Damage to target Creature",Finn Vs Jake,https://www.carddweeb.com/CardImages/old/Finn.jpg
23,Hero,Jake,None,0,0,0,Starter,Creatures on facedown Landscapes you control have +2 ATK.,Finn Vs Jake,https://www.carddweeb.com/CardImages/old/Jake.jpg
24,Creature,Ancient Scholar,BluePlains,1,1,7,Starter,"FLOOP >>> Return a random Rainbow card from your discard pile to your hand. If you control a Building in this Lane, gain 1 Action.",Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Ancient_Scholar.png
25,Creature,Archer Dan,Cornfield,2,2,6,Starter,FLOOP >>> Destroy target Building in Archer Dan's Lane.,Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Archer_Dan.png
26,Creature,Big Foot,Rainbow,0,1,4,Starter,FLOOP >>> Flip target facedown Landscape you control face up.,Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Big_Foot.png
27,Creature,Cool Dog,BluePlains,2,2,7,Starter,Your Creatures on adjacent Lanes may not be attacked.,Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Cool_Dog.png
28,Creature,Corn Dog,Cornfield,1,0,12,Starter,"Corn Dog has +1 DEF for each Cornfield Landscape you control. If you control 3 or fewer Cornfield Landscapes, Corn Dog has +1 ATK.",Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Corn_Dog.png
29,Creature,Corn Lord,Cornfield,1,0,7,Starter,+1 ATK for each of your other Cornfield Creatures.,Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Corn_Lord.png
30,Creature,Corn Ronin,Cornfield,1,1,6,Starter,+1 ATK for each adjacent Cornfield Landscape.,Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Corn_Ronin.png
31,Creature,Cornataur,Cornfield,2,2,10,Starter,"When Cornataur enters play, deal 1 damage to your opponent for each Cornfield Landscape you control.",Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Cornataur.png
32,Creature,Dragon Claw,BluePlains,1,1,8,Starter,FLOOP >>> Move one of your Creatures to an empty Lane.,Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Dragon_Claw.png
33,Creature,Drooling Dude,Rainbow,2,3,9,Starter,,Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Drooling_Dude.png
34,Creature,Embarrassing Bard,BluePlains,2,1,5,Starter,FLOOP >>> Draw a card for each of your Flooped Creatures (including this one).,Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Embarrassing_Bard.png
35,Creature,Evil Eye,Rainbow,0,1,5,Starter,,Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Evil_Eye.png
36,Creature,Field Reaper,Cornfield,2,1,4,Starter,"To play this card, you must discard a card. When Field Reaper enters play, move target Creature in this Lane to an adjacent empty Lane you control.",Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Field_Reaper.png
37,Creature,Field Stalker,Cornfield,1,1,10,Starter,"At the start of your turn, each player draws a card.",Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Field_Stalker.png
38,Creature,Heavenly Gazer,BluePlains,1,2,5,Starter,FLOOP >>> Put a Spell from your discard pile on top of your deck.,Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Heavenly_Gazer.png
39,Creature,Husker Knight,Cornfield,2,0,0,Starter,+1 ATK and +2 DEF for each Cornfield Landscape you control.,Finn Vs Jake,https://www.carddweeb.com/CardImages/regular/Husker_Knight.png
